MARCA,ELEMENTOS TEXTUAIS,ELEMENTOS NÃO-TEXTUAIS,DATA,LINK,REDE,SEGMENTO
PETROBRAS,Nossa agenda de baixo carbono e sustentabilidade possui 10 compromissos: 1. crescimento zero das emissões absolutas operacionais até 2025. 2. Zero queima de rotina de flare até 2030.,IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202319593236320256,TWITTER,ENERGIA
PETROBRAS,"A produção da Petrobras é a segunda menor em intensidade de carbono da indústria. Os investimentos em ações de descarbonização serão de US$ 100 milhões/ano e em pesquisa para reforçar a descarbonização e renováveis, de US$ 70 milhões/ano.",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202305138792292352,TWITTER,ENERGIA
PETROBRAS,"""Investiremos US$ 8 bilhões entre 2020 e 2024, sendo 74% no refino, transporte e comercialização e 26% no gás natural e energia. Estratégias: otimizar o portfólio termoelétrico, viabilizar comercialmente o diesel renovável e o BioQaV, diz Anelise. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202303299816480770,TWITTER,ENERGIA
PETROBRAS,"Meio ambiente: ""Avançamos com uma série de ações de descarbonização em nossos processos, que envolvem redução da queima de gás natural em flare, reinjeção de CO2 e ganhos de eficiência energética."", explica Anelise. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202303132744716288,TWITTER,ENERGIA
PETROBRAS,"""Além disso, teremos desinvestimentos na distribuição e no transporte de gás e seremos competitivos na comercialização global de petróleo"", completa Anelise. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202302956474961925,TWITTER,ENERGIA
PETROBRAS,"Anelise Lara, Diretora de Refino e Gás Natural: ""seremos competitivos no refino, na logística e na comercialização de derivados com foco nas operações do Sudeste."" #PetrobrasDay",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202302829332979712,TWITTER,ENERGIA
PETROBRAS,"Essa trajetória de crescimento - que prevê uma produção total de 3,5 milhões de boed em 2024 - é suportada pelos novos sistemas de produção, principalmente no pré-sal, com maior rentabilidade e geração de valor, e pela estabilidade da produção da Bacia de Campos. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202298421627019272,TWITTER,ENERGIA
PETROBRAS,"1 milhão de barris equivalentes de óleo por dia (boed) para os próximos 10 anos, com investimentos de US$ 20 bilhões: previsão para a Bacia de Campos de acordo com nosso Plano Estratégico. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202298268769755141,TWITTER,ENERGIA
PETROBRAS,"Cenário previsto para o Campo de Búzios: quatro unidades em operação, uma plataforma com início das operações previsto para 2022 e expectativa de sete plataformas adicionais. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202298067363487744,TWITTER,ENERGIA
PETROBRAS,"US$64 bilhões serão investidos em E&P até 2024, sendo 59% desse montante no pré-sal, destaca nosso Plano Estratégico. Saiba mais: https://petrobr.as/petrobrasday  #PETR3 #PETR4 #PetrobrasDay",LINK ,04/12/19,https://twitter.com/petrobras/status/1202297913138982918,TWITTER,ENERGIA
PETROBRAS,"Carlos Alberto: ""A curva de produção de petróleo e gás indica um crescimento contínuo: entrada em operação de 13 novos sistemas de produção no período 2020-24, todos alocados em projetos em águas profundas e ultraprofundas."" #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202297644284035078,TWITTER,ENERGIA
PETROBRAS,"Nosso Diretor de E&P, Carlos Alberto Pereira de Oliveira, completa: ""nosso objetivo é maximizar o valor do portfólio, com foco em águas profundas e ultraprofundas, buscando eficiência operacional, otimização do fator de recuperação e parcerias."" #PetrobrasDay ",VIDEO,04/12/19,https://twitter.com/petrobras/status/1202297448913391616,TWITTER,ENERGIA
PETROBRAS,"Está previsto, para o período 2020-2024, um investimento de US$75,7 bilhões, dos quais 85% serão destinados ao segmento de exploração e produção (E&P) #PETR3 #PETR4 #PetrobrasDay ",N,04/12/19,https://twitter.com/petrobras/status/1202296945626296320,TWITTER,ENERGIA
PETROBRAS,"Como premissa do Plano Estratégico, teremos um breakeven mínimo de US$50/barril nos próximos 5 anos e US$45 no longo prazo, aplicando uma governança criteriosa para a seleção e priorização de projetos. #PETR3 #PETR4 #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202296202697617408,TWITTER,ENERGIA
PETROBRAS,"""Mantemos a meta de atingir uma relação Dívida Líquida/EBITDA de 1,5x em 2020 e o patamar de US$60 bilhões de dívida bruta em 2021, aumentando, por meio da nova Política de Dividendos, os valores estimados de distribuição de dividendos"", finaliza Andrea. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202296125920882689,TWITTER,ENERGIA
PETROBRAS,"Andrea prossegue: ""Continuamos buscando a otimização de custos, com redução de 15% das despesas corporativas em 2020 e desalavancagem por meio da geração de caixa e desinvestimentos"". #PetrobrasDay
4 respostas 17 retweets 191 curtiram
",N,04/12/19,https://twitter.com/petrobras/status/1202296041657253895,TWITTER,ENERGIA
PETROBRAS,"Em termos de gestão de portfólio, o Plano Estratégico destaca a ocorrência de desinvestimentos entre US$20-30 bilhões entre 2020 e 2024, sendo a maior parte destes nos próximos dois anos. #PetrobrasDay
1 resposta 10 retweets 214 curtiram
",N,04/12/19,https://twitter.com/petrobras/status/1202295993049460737,TWITTER,ENERGIA
PETROBRAS,"Para nossa Diretora Financeira, Andrea Almeida, a estratégia é baseada em ""maximizar o retorno aos acionistas, reduzir o endividamento e as despesas com juros, aumentar a distribuição de dividendos e manter a capacidade de investir."" #PetrobrasDay #PETR3 #PETR4 ",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202295856294236160,TWITTER,ENERGIA
PETROBRAS,"Capacidade para processar 1,1 milhão de barris por dia, ativos de classe mundial, parque de refino eficiente, retorno operacional maior que o custo de capital e avanço na produção e exploração do pré-sal. ""Esse é o futuro da companhia"", diz Castello Branco. #PetrobrasDay",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202287932368990208,TWITTER,ENERGIA
PETROBRAS,"São três as métricas principais do plano: Taxa de acidentados registráveis (TAR) abaixo de 1,0; Dívida líquida/EBITDA ajustado abaixo de 1,5x; e variação do Valor Econômico Adicionado (VAR) consolidada em US$2,6 bilhões. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202287707881390080,TWITTER,ENERGIA
PETROBRAS,"Castello Branco finaliza: ""definido como 'Mind the Gap', o Plano visa aproximar nosso desempenho das melhores empresas globais do setor de óleo e gás."" #PETR3 #PETR4 #PetrobrasDay",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202287514037497864,TWITTER,ENERGIA
PETROBRAS,"Além da segurança e o respeito às pessoas e ao meio ambiente, são pilares estratégicos do Plano a maximização do retorno sobre o capital empregado, a redução do custo de capital, a meritocracia e a busca por baixos custos. Leia mais: https://petrobr.as/petrobrasday  #PetrobrasDay",LINK ,04/12/19,https://twitter.com/petrobras/status/1202286918672814083,TWITTER,ENERGIA
PETROBRAS,"O Plano está em consonância com nosso posicionamento estratégico, pois enfatiza o foco na exploração e na produção de petróleo e gás com segurança, respeito às pessoas e ao meio ambiente. #PetrobrasDay",N,04/12/19,https://twitter.com/petrobras/status/1202286282031947777,TWITTER,ENERGIA
PETROBRAS,"""Queremos ser a melhor empresa de energia na geração de valor para o acionista"", ressaltou nosso presidente, Roberto Castello Branco, durante a apresentação de nosso Plano Estratégico 2020-2024. #PETR3 #PETR4 #PetrobrasDay",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202278469272555521,TWITTER,ENERGIA
PETROBRAS,"Em entrevista à @Bloombergtv, Castello Branco falou sobre a visão da companhia para os anos de 2020 a 2024. #PetrobrasDay",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202272309274431488,TWITTER,ENERGIA
PETROBRAS,"A @NYSE convidou nosso presidente para uma entrevista que será publicada em formato de podcast no site da Bolsa de Valores de Nova York. Na sequência, será a vez de falar com a @BloombergBrasil a respeito de nosso Plano Estratégico. #PETR3 #PETR4 #PetrobrasDay",IMAGEM FIXA,04/12/19,https://twitter.com/petrobras/status/1202252359096819715,TWITTER,ENERGIA
PETROBRAS,Nossa diretoria na @NYSE para abrir o pregão do mais importante centro financeiro do mundo. #PetrobrasDay,VIDEO,04/12/19,https://twitter.com/petrobras/status/1202239509166993409,TWITTER,ENERGIA
PETROBRAS,O toque do sino é uma homenagem a empresas listadas na @NYSE e marca a abertura do pregão da bolsa. #PETR3 #PETR4 #PetrobrasDay,N,04/12/19,https://twitter.com/petrobras/status/1202213389973544960,TWITTER,ENERGIA
PETROBRAS,"Nosso presidente, Roberto Castello Branco, foi convidado para tocar o sino de abertura do pregão da Bolsa de Nova York (@NYSE). Acompanhe a cerimônia e a agenda do dia pela hashtag #PetrobrasDay.

",N,04/12/19,https://twitter.com/petrobras/status/1202213388375465984,TWITTER,ENERGIA
PETROBRAS,"Nossas medidas de combate à corrupção foram reconhecidas pelo Conselho de Ética do Fundo Soberano da Noruega. Com isso, voltamos a ser elegíveis para receber investimentos do fundo norueguês. É um reconhecimento à altura do nosso trabalho.",LINK COM FOTO,03/12/19,https://twitter.com/petrobras/status/1201980739027456001,TWITTER,ENERGIA
PETROBRAS,A área do pré-sal vai concentrar 85% dos nossos investimentos até 2024 e continuará sendo crítica para o futuro da Companhia e do setor de energia. Para saber mais: http://www.petrobras.com.br/fatos-e-dados/aprovamos-plano-estrategico-2020-2024.htm …,IMAGEM FIXA,03/12/19,https://twitter.com/petrobras/status/1201954160058474500,TWITTER,ENERGIA
PETROBRAS,"Amanhã, ao longo do dia, faremos a cobertura da apresentação do nosso Plano Estratégico na Bolsa de Nova York (@NYSE). Nosso CEO, Roberto Castello Branco, mostrará como vamos crescer com foco na produção de óleo e gás, em especial no pré-sal.",N,03/12/19,https://twitter.com/petrobras/status/1201954146263453704,TWITTER,ENERGIA
PETROBRAS,"Você é aluno de curso de graduação, é inovador, criativo, proativo e gosta de tecnologia e desafios?  Então a nova etapa do programa Petrobras Conexões para Inovação é para você. Saiba mais sobre ela e inscreva-se até 06/Jan:",LINK COM FOTO,02/12/19,https://twitter.com/petrobras/status/1201586533637201927,TWITTER,ENERGIA
PETROBRAS,"Nesta semana, estaremos na Bolsa de Nova York (@NYSE) para apresentar nosso Plano Estratégico. E você vai poder acompanhar tudo aqui pelo nosso perfil, com conteúdos exclusivos direto de Wall Street.",N,02/12/19,https://twitter.com/petrobras/status/1201548212450004992,TWITTER,ENERGIA
PETROBRAS,Nosso diretor de Governança e Conformidade foi eleito um dos 20 profissionais do segmento empresarial mais admirados na área de compliance do Brasil de acordo com pesquisa publicada pelo anuário Compliance On Top 2019. Saiba mais:,LINK COM FOTO,29/11/19,https://twitter.com/petrobras/status/1200528882350350338,TWITTER,ENERGIA
